latitude,,longitude
40.44073299,,-79.94199388
40.44073259,,-79.9419944
40.44073218,,-79.94199505
40.44073195,,-79.94199533
40.4407317,,-79.94199591
40.4407314,,-79.94199644
40.44073098,,-79.94199673
40.44073073,,-79.94199709
40.44073063,,-79.94199756
40.44073058,,-79.94199815
40.44073058,,-79.94199884
40.44073052,,-79.9419996
40.44073036,,-79.94200012
40.44073011,,-79.94200073
40.44072989,,-79.94200147
40.44072968,,-79.94200238
40.44072942,,-79.94200264
40.44072918,,-79.94200322
40.44072903,,-79.94200367
40.44072892,,-79.94200425
40.44072871,,-79.94200476
40.44072848,,-79.94200532
40.4407281,,-79.94200571
40.44072778,,-79.94200614
40.44072741,,-79.94200669
40.44072706,,-79.94200714
40.44072673,,-79.94200769
40.44072641,,-79.94200794
40.44072612,,-79.94200843
40.44072595,,-79.9420088
40.44072576,,-79.94200963
40.4407255,,-79.94200992
40.4407252,,-79.94201059
40.44072487,,-79.94201094
40.44072452,,-79.94201149
40.44072423,,-79.94201211
40.44072408,,-79.9420125
40.44072402,,-79.94201287
40.44072396,,-79.94201316
40.44072399,,-79.9420137
40.44072421,,-79.94201398
40.44072453,,-79.94201447
40.44072478,,-79.94201486
40.440725,,-79.9420154
40.44072507,,-79.94201577
40.44072496,,-79.94201628
40.44072495,,-79.94201681
40.44072493,,-79.94201743
40.44072494,,-79.94201796
40.4407251,,-79.9420185
40.44072522,,-79.94201911
40.44072537,,-79.9420197
40.44072547,,-79.94202003
40.44072548,,-79.9420204
40.44072556,,-79.94202095
40.44072553,,-79.94202154
40.44072548,,-79.94202212
40.44072534,,-79.94202263
40.44072535,,-79.94202317
40.44072531,,-79.94202353
40.44072534,,-79.94202397
40.4407252,,-79.94202428
40.44072506,,-79.94202466
40.4407249,,-79.94202518
40.44072472,,-79.94202558
40.44072459,,-79.94202608
40.44072458,,-79.94202658
40.44072461,,-79.94202693
40.44072476,,-79.94202734
40.44072488,,-79.9420277
40.44072501,,-79.94202812
40.4407251,,-79.94202858
40.44072509,,-79.94202893
40.44072506,,-79.94202954
40.44072495,,-79.94203005
40.44072488,,-79.94203046
40.44072472,,-79.94203085
40.44072467,,-79.94203112
40.44072472,,-79.94203143
40.44072487,,-79.94203153
40.44072492,,-79.94203171
40.44072497,,-79.94203198
40.440725,,-79.94203219
40.44072492,,-79.94203254
40.44072485,,-79.9420328
40.44072484,,-79.94203328
40.44072487,,-79.94203353
40.4407248,,-79.94203395
40.44072481,,-79.94203431
40.44072487,,-79.94203472
40.44072496,,-79.9420351
40.44072498,,-79.94203539
40.44072505,,-79.94203572
40.44072505,,-79.94203613
40.44072511,,-79.9420367
40.44072523,,-79.94203715
40.44072539,,-79.94203765
40.44072548,,-79.94203826
40.44072566,,-79.94203891
40.44072578,,-79.94203956
40.44072588,,-79.94204028
40.44072601,,-79.94204092
40.44072607,,-79.94204157
40.44072609,,-79.94204212
40.4407261,,-79.94204284
40.44072616,,-79.94204365
40.44072626,,-79.94204439
40.44072639,,-79.94204515
40.44072649,,-79.94204586
40.44072659,,-79.94204666
40.44072671,,-79.94204738
40.44072677,,-79.94204823
40.44072677,,-79.94204886
40.44072672,,-79.94204956
40.44072664,,-79.94205011
40.44072663,,-79.94205081
40.44072649,,-79.94205147
40.44072633,,-79.94205204
40.44072619,,-79.94205284
40.44072594,,-79.94205344
40.44072576,,-79.94205399
40.44072546,,-79.94205446
40.44072506,,-79.94205483
40.44072469,,-79.94205539
40.44072429,,-79.94205583
40.44072395,,-79.94205633
40.44072373,,-79.94205693
40.44072347,,-79.94205763
40.4407232,,-79.94205824
40.44072285,,-79.94205897
40.44072248,,-79.9420596
40.440722,,-79.94206005
40.44072146,,-79.94206042
40.44072091,,-79.94206086
40.44072038,,-79.94206127
40.44071998,,-79.9420618
40.44071958,,-79.94206246
40.44071917,,-79.94206322
40.4407188,,-79.94206388
40.44071847,,-79.94206443
40.44071806,,-79.94206491
40.44071763,,-79.94206532
40.44071718,,-79.94206586
40.44071671,,-79.94206617
40.44071627,,-79.94206668
40.44071595,,-79.94206738
40.44071564,,-79.94206796
40.44071537,,-79.94206852
40.44071506,,-79.94206886
40.44071469,,-79.94206929
40.44071432,,-79.94206969
40.44071403,,-79.94207021
40.44071371,,-79.94207052
40.4407133,,-79.94207102
40.44071287,,-79.94207151
40.44071241,,-79.94207202
40.44071197,,-79.94207243
40.44071154,,-79.94207281
40.44071108,,-79.94207307
40.44071065,,-79.94207352
40.44071027,,-79.94207393
40.4407099,,-79.94207444
40.44070954,,-79.942075
40.4407092,,-79.94207568
40.44070887,,-79.94207643
40.44070858,,-79.94207717
40.44070827,,-79.94207773
40.44070797,,-79.94207822
40.44070761,,-79.94207864
40.44070725,,-79.9420791
40.44070697,,-79.94207957
40.44070664,,-79.94208019
40.4407064,,-79.94208084
40.44070619,,-79.9420815
40.44070587,,-79.94208197
40.44070554,,-79.94208239
40.44070519,,-79.94208274
40.44070493,,-79.94208315
40.44070462,,-79.94208348
40.44070432,,-79.94208389
40.44070406,,-79.94208434
40.44070379,,-79.94208496
40.44070356,,-79.94208559
40.44070325,,-79.94208615
40.44070294,,-79.94208654
40.44070266,,-79.94208686
40.44070235,,-79.9420871
40.44070208,,-79.94208741
40.44070181,,-79.94208767
40.44070162,,-79.94208808
40.44070144,,-79.94208844
40.44070131,,-79.94208884
40.44070122,,-79.94208919
40.4407011,,-79.94208945
40.44070096,,-79.94208957
40.44070078,,-79.94208963
40.4407006,,-79.94208956
40.44070042,,-79.94208951
40.44070032,,-79.94208951
40.44070029,,-79.94208957
40.44070032,,-79.94208953
40.44070027,,-79.94208952
40.44070023,,-79.94208939
40.44070016,,-79.94208924
