latitude,,longitude
40.44018366,,-79.94244711
40.44018292,,-79.94245109
40.44018218,,-79.94245517
40.44018138,,-79.94245924
40.4401806,,-79.9424634
40.44017985,,-79.94246765
40.44017908,,-79.94247193
40.44017828,,-79.94247627
40.44017747,,-79.94248067
40.44017672,,-79.94248515
40.44017586,,-79.94248963
40.44017508,,-79.94249419
40.44017422,,-79.9424988
40.44017337,,-79.94250349
40.44017249,,-79.94250827
40.44017156,,-79.94251311
40.44017069,,-79.94251806
40.44016971,,-79.94252304
40.44016883,,-79.94252804
40.44016796,,-79.94253313
40.44016691,,-79.94253832
40.44016595,,-79.94254356
40.44016506,,-79.94254893
40.44016408,,-79.94255436
40.44016315,,-79.94255984
40.44016214,,-79.94256544
40.44016106,,-79.94257097
40.44016007,,-79.94257662
40.44015902,,-79.94258237
40.44015791,,-79.94258814
40.44015672,,-79.94259396
40.44015548,,-79.94259985
40.44015433,,-79.94260589
40.44015327,,-79.94261212
40.44015214,,-79.94261828
40.44015088,,-79.94262454
40.44014955,,-79.94263084
40.4401483,,-79.9426373
40.44014697,,-79.9426438
40.44014553,,-79.94265025
40.44014408,,-79.94265677
40.44014257,,-79.94266339
40.44014102,,-79.94267015
40.44013944,,-79.94267699
40.44013789,,-79.94268385
40.44013627,,-79.94269076
40.4401347,,-79.94269777
40.44013308,,-79.94270479
40.4401314,,-79.94271202
40.44012967,,-79.94271919
40.44012795,,-79.94272645
40.44012617,,-79.94273387
40.44012435,,-79.9427412
40.44012255,,-79.94274863
40.44012062,,-79.94275613
40.4401187,,-79.94276372
40.44011667,,-79.94277131
40.44011463,,-79.94277893
40.44011255,,-79.94278659
40.44011034,,-79.94279435
40.44010818,,-79.94280217
40.44010588,,-79.94281002
40.44010356,,-79.94281795
40.44010113,,-79.94282587
40.44009859,,-79.94283385
40.44009598,,-79.94284182
40.44009333,,-79.94284979
40.44009057,,-79.94285776
40.44008776,,-79.94286585
40.44008493,,-79.94287403
40.44008194,,-79.94288223
40.44007901,,-79.94289045
40.44007595,,-79.9428987
40.44007285,,-79.94290703
40.44006974,,-79.94291538
40.44006668,,-79.94292383
40.44006338,,-79.94293215
40.44006026,,-79.94294072
40.44005701,,-79.94294923
40.44005362,,-79.94295776
40.44005019,,-79.94296639
40.44004677,,-79.94297499
40.44004316,,-79.94298364
40.44003951,,-79.94299231
40.44003573,,-79.94300088
40.44003195,,-79.94300954
40.44002806,,-79.9430182
40.44002403,,-79.94302683
40.44001994,,-79.94303543
40.44001579,,-79.94304414
40.44001158,,-79.94305282
40.44000732,,-79.94306155
40.44000303,,-79.94307029
40.43999862,,-79.94307902
40.43999427,,-79.94308783
40.43998976,,-79.94309658
40.43998524,,-79.94310532
40.43998074,,-79.94311416
40.43997624,,-79.94312307
40.43997147,,-79.94313188
40.43996671,,-79.94314079
40.43996182,,-79.9431495
40.4399568,,-79.94315818
40.43995171,,-79.94316683
40.43994645,,-79.94317543
40.43994108,,-79.94318397
40.43993558,,-79.94319249
40.43992992,,-79.94320084
40.43992426,,-79.94320929
40.4399185,,-79.94321774
40.43991257,,-79.94322606
40.43990667,,-79.94323426
40.4399007,,-79.94324254
40.43989451,,-79.94325058
40.43988831,,-79.94325878
40.439882,,-79.94326687
40.43987578,,-79.94327502
40.43986941,,-79.94328313
40.43986303,,-79.9432912
40.43985675,,-79.94329926
40.43985039,,-79.9433074
40.43984399,,-79.94331549
40.43983758,,-79.9433235
40.43983111,,-79.94333152
40.43982458,,-79.94333947
40.43981797,,-79.9433475
40.43981138,,-79.94335553
40.43980484,,-79.94336367
40.43979815,,-79.94337168
40.43979149,,-79.94337976
40.43978482,,-79.94338789
40.4397781,,-79.94339599
40.4397714,,-79.94340402
40.43976463,,-79.94341211
40.43975792,,-79.94342019
40.43975123,,-79.94342831
40.4397445,,-79.94343647
40.43973786,,-79.94344461
40.43973123,,-79.94345273
40.43972455,,-79.94346083
40.43971792,,-79.9434689
40.43971119,,-79.94347687
40.43970452,,-79.94348487
40.43969783,,-79.94349295
40.43969113,,-79.943501
40.43968447,,-79.9435091
40.43967779,,-79.94351719
40.43967112,,-79.94352532
40.43966455,,-79.94353347
40.43965794,,-79.94354168
40.43965135,,-79.94354985
40.43964477,,-79.94355803
40.43963818,,-79.94356616
40.4396316,,-79.9435743
40.43962503,,-79.94358244
40.43961847,,-79.94359058
40.43961187,,-79.94359862
40.43960519,,-79.94360652
40.43959846,,-79.9436144
40.43959167,,-79.94362221
40.43958488,,-79.94362996
40.43957817,,-79.94363784
40.43957145,,-79.94364564
40.4395648,,-79.94365346
40.43955809,,-79.94366123
40.43955141,,-79.94366901
40.43954471,,-79.94367673
40.43953799,,-79.94368448
40.43953132,,-79.94369223
40.43952462,,-79.94369992
40.4395179,,-79.94370764
40.4395112,,-79.94371525
40.43950455,,-79.94372305
40.43949788,,-79.9437308
40.43949124,,-79.94373855
40.4394846,,-79.94374629
40.43947795,,-79.94375396
